snt_id	term	definition	explanation	exp_id
G01.1_111823101_4	health care	organized provision of medical services to maintain or improve the health of individuals.	It involves the organized provision of medical services, treatments, and support aimed at maintaining or improving the health of individuals or communities. It encompasses a broad range of services, from preventive care to diagnosis, treatment, and rehabilitation.	15
G01.1_111823101_4	lifestyle	the way in which a person or group lives.	It refers to the way in which an individual or group lives, including their behaviors, habits, and choices. In the context of health, lifestyle considerations often include diet, exercise, sleep patterns, and other factors that contribute to overall well-being.	15
G01.1_111823101_4	medical personnel	professionals involved in healthcare.	This includes doctors, nurses, technicians, and other trained individuals responsible for delivering medical services, treatment, and care to patients.	15
G01.1_131359426_4	PDA	small, mobile, handheld device that provides computing and information storage and retrieval capabilities	acronym of personal digital assistant, the precursor to smartphones, which usually had a small physical keyboard even tough some had an electronically sensitive pad on which handwriting could be received	2
G01.1_131359426_4	personal digital assistant	small, mobile, handheld device that provides computing and information storage and retrieval capabilities	the precursor to smartphones, it usually had a small physical keyboard even tough some had an electronically sensitive pad on which handwriting could be received	2
G01.1_131359426_5	colour space	standardized way to describe colors	it provides a standardized way of defining and interpreting colors, allowing for consistency in color representation across various devices and applications	2
G01.1_131359426_7	PDA technology	application of scientific knowledge and engineering principles in order to develop the performance of a small, mobile, handheld device that provides computing and information storage and retrieval capabilities	scientific and engeneering studies that had as an objective the integration of new features to improve and develop the precursor to smartphones, which nowadays has become less common	2
G01.1_147704292_1	MDR-TB	MDR-TB is the acronym for Multidrug-resistant tuberculosis, a form of tuberculosis caused by bacteria resistant to at least two of the most potent anti-TB drugs. This resistance complicates treatment, requiring more extended and complex therapeutic regimens.	MDR-TB is the acronym for Multidrug-resistant tuberculosis is a variant of tuberculosis where the bacteria resist at least two of the most potent anti-TB drugs. This resistance poses challenges in treatment, necessitating more extended and complex therapeutic regimens. MDR-TB represents a critical concern in public health due to its increased difficulty in managing and higher associated healthcare burdens.	8
G01.1_147704292_1	MDR-TB	a form of tuberculosis caused by bacteria resistant to at least two of the most potent anti-TB drugs.	acronym for Multidrug-resistant tuberculosis, a variant of tuberculosis where the bacteria resist at least two of the most potent anti-TB drugs. This resistance poses challenges in treatment, necessitating more extended and complex therapeutic regimens. MDR-TB represents a critical concern in public health due to its increased difficulty in managing and higher associated healthcare burdens.	9
G01.1_147704292_1	multidrug-resistant tuberculosis	Multidrug-resistant tuberculosis is a form of tuberculosis caused by bacteria resistant to at least two of the most potent anti-TB drugs. This resistance complicates treatment, requiring more extended and complex therapeutic regimens.	Multidrug-resistant tuberculosis is a variant of tuberculosis where the bacteria resist at least two of the most potent anti-TB drugs. This resistance poses challenges in treatment, necessitating more extended and complex therapeutic regimens. MDR-TB represents a critical concern in public health due to its increased difficulty in managing and higher associated healthcare burdens.	8
G01.1_147704292_1	multidrug-resistant tuberculosis	a form of tuberculosis caused by bacteria resistant to at least two of the most potent anti-TB drugs.	a variant of tuberculosis where the bacteria resist at least two of the most potent anti-TB drugs. This resistance poses challenges in treatment, necessitating more extended and complex therapeutic regimens. Multidrug-resistant tuberculosis represents a critical concern in public health due to its increased difficulty in managing and higher associated healthcare burdens.	9
G01.1_147704292_1	NTP	NTP is the acronym for National Tuberculosis Program and it refers to the Peruvian National Tuberculosis Program, which is a government initiative focused on tuberculosis prevention, control, and treatment within Peru. This program aims to reduce TB incidence, improve patient outcomes, and address social determinants impacting TB transmission.	NTP is the acronym for National Tuberculosis Program and it refers to a government-driven initiative dedicated to preventing, controlling, and treating tuberculosis in Peru. Its goals include reducing TB incidence, enhancing patient outcomes, and addressing social determinants influencing TB transmission. PNTC plays a pivotal role in coordinating efforts, implementing strategies, and advancing public health responses to combat tuberculosis in the country.	8
G01.1_147704292_1	NTP	a government initiative focused on tuberculosis prevention, control, and treatment within Peru.	acronym for National Tuberculosis Program, which refers to a government-driven initiative dedicated to preventing, controlling, and treating tuberculosis in Peru. Its goals include reducing TB incidence, enhancing patient outcomes, and addressing social determinants influencing TB transmission. PNTC plays a pivotal role in coordinating efforts, implementing strategies, and advancing public health responses to combat tuberculosis in the country.	9
G01.1_147704292_1	partners in health	Partners In Health is a non-profit organization dedicated to providing comprehensive health care and addressing social determinants of health in resource-limited communities globally. Their mission focuses on achieving health equity and social justice.	Partners In Health is a non-profit organization committed to delivering comprehensive healthcare and addressing broader social determinants in resource-limited communities worldwide. With a mission centered on health equity and social justice, PIH works collaboratively to provide holistic and sustainable solutions, aiming to improve health outcomes and empower communities facing significant healthcare challenges.	8
G01.1_147704292_1	partners in health	a non-profit organization providing health care and addressing social determinants of health in resource-limited communities globally.	a non-profit organization committed to delivering comprehensive healthcare and addressing broader social determinants in resource-limited communities worldwide. With a mission centered on health equity and social justice, Partners In Health works collaboratively to provide sustainable solutions, aiming to improve health outcomes and empower communities facing significant healthcare challenges.	9
G01.1_147704292_1	peruvian national TB program	The Peruvian National Tuberculosis Program is a government initiative focused on tuberculosis prevention, control, and treatment within Peru. This program aims to reduce TB incidence, improve patient outcomes, and address social determinants impacting TB transmission.	The Peruvian National Tuberculosis Program is a government-driven initiative dedicated to preventing, controlling, and treating tuberculosis in Peru. Its goals include reducing TB incidence, enhancing patient outcomes, and addressing social determinants influencing TB transmission. PNTC plays a pivotal role in coordinating efforts, implementing strategies, and advancing public health responses to combat tuberculosis in the country.	8
G01.1_147704292_1	peruvian national TB program	a government initiative focused on tuberculosis prevention, control, and treatment within Peru.	a government-driven initiative dedicated to preventing, controlling, and treating tuberculosis in Peru. Its goals include reducing TB incidence, enhancing patient outcomes, and addressing social determinants influencing TB transmission. PNTC plays a pivotal role in coordinating efforts, implementing strategies, and advancing public health responses to combat tuberculosis in the country.	9
G01.1_147704292_1	PIH	PIH is the acronym of Partners In Health, a non-profit organization dedicated to providing comprehensive health care and addressing social determinants of health in resource-limited communities globally. Their mission focuses on achieving health equity and social justice.	PIH is the acronym of Partners In Health, a non-profit organization committed to delivering comprehensive healthcare and addressing broader social determinants in resource-limited communities worldwide. With a mission centered on health equity and social justice, PIH works collaboratively to provide holistic and sustainable solutions, aiming to improve health outcomes and empower communities facing significant healthcare challenges.	8
G01.1_147704292_1	PIH	a non-profit organization providing health care and addressing social determinants of health in resource-limited communities globally.	acronym for Partners In Health, a non-profit organization committed to delivering comprehensive healthcare and addressing broader social determinants in resource-limited communities worldwide. With a mission centered on health equity and social justice, PIH works collaboratively to provide sustainable solutions, aiming to improve health outcomes and empower communities facing significant healthcare challenges.	9
G01.1_147704292_1	SES	SES is the acronym of Socios En Salud, an affiliate of Partners In Health (PIH), a non-profit organization dedicated to providing healthcare services and addressing social determinants of health in resource-limited communities, particularly in Latin America. Their mission aligns with achieving health equity and social justice.	SES is the acronym of Socios En Salud, affiliated with Partners In Health (PIH),  a non-profit organization focused on delivering healthcare services and addressing social determinants of health, primarily in Latin America. Committed to health equity and social justice, they work collaboratively to provide comprehensive solutions and improve health outcomes in communities facing significant healthcare challenges.	8
G01.1_147704292_1	SES	a non-profit organization that provides healthcare services in resource-limited communities, particularly in Latin America.	acronym for Socios En Salud, a non-profit organization affiliated with Partners In Health (PIH),  focused on delivering healthcare services and addressing social determinants of health, primarily in Latin America. Committed to health equity and social justice, they work collaboratively to provide comprehensive solutions and improve health outcomes in communities facing significant healthcare challenges.	9
G01.1_147704292_1	socios en salud	Socios En Salud, an affiliate of Partners In Health (PIH), is a non-profit organization dedicated to providing healthcare services and addressing social determinants of health in resource-limited communities, particularly in Latin America. Their mission aligns with achieving health equity and social justice.	Socios En Salud, affiliated with Partners In Health (PIH), is a non-profit organization focused on delivering healthcare services and addressing social determinants of health, primarily in Latin America. Committed to health equity and social justice, they work collaboratively to provide comprehensive solutions and improve health outcomes in communities facing significant healthcare challenges.	8
G01.1_147704292_1	socios en salud	a non-profit organization that provides healthcare services in resource-limited communities, particularly in Latin America.	a non-profit organization affiliated with Partners In Health (PIH), focused on delivering healthcare services and addressing social determinants of health, primarily in Latin America. Committed to health equity and social justice, they work collaboratively to provide comprehensive solutions and improve health outcomes in communities facing significant healthcare challenges.	9
G01.1_147704292_2	bacteriology test	A bacteriology test is a laboratory examination that involves the identification and analysis of bacteria. This diagnostic procedure aids in determining the presence, type, and characteristics of bacteria in clinical samples, contributing to the diagnosis of infectious diseases.	A bacteriology test is a laboratory procedure that involves analyzing and identifying bacteria in clinical samples. This diagnostic tool is crucial for determining the presence, type, and characteristics of bacteria, aiding in the diagnosis of infectious diseases. Bacteriology tests play a key role in guiding appropriate treatment measures and understanding the microbial causes of various health conditions.	8
G01.1_147704292_2	bacteriology test	a laboratory examination that involves the identification and analysis of bacteria, contributing to the diagnosis of infectious diseases.	a laboratory procedure that involves analyzing and identifying bacteria in clinical samples. This diagnostic tool is crucial for determining the presence, type, and characteristics of bacteria, aiding in the diagnosis of infectious diseases. Bacteriology tests play a key role in guiding appropriate treatment measures and understanding the microbial causes of various health conditions.	9
G01.1_147704292_2	health establishment	A health establishment refers to any institution or facility dedicated to providing health services, including hospitals, clinics, or medical offices. These establishments aim to promote health, prevent illness, and deliver medical care to individuals and communities.	A health establishment is any institution or facility committed to offering health services, encompassing hospitals, clinics, or medical offices. Their primary objectives include promoting health, preventing illnesses, and delivering medical care to individuals and communities. These establishments serve as crucial components of healthcare systems, contributing to overall well-being and disease management.	8
G01.1_147704292_2	health establishment	any institution or facility dedicated to providing health services, including hospitals, clinics, or medical offices.	any institution or facility committed to offering health services, encompassing hospitals, clinics, or medical offices. Their primary objectives include promoting health, preventing illnesses, and delivering medical care to individuals and communities. These establishments serve as crucial components of healthcare systems, contributing to overall well-being and disease management.	9
G01.1_147704292_2	treatment	In the medical context, treatment refers to interventions and procedures aimed at managing or alleviating health conditions. It includes medications, therapies, surgeries, and lifestyle modifications designed to improve patient outcomes and enhance overall well-being.	In the medical field, treatment encompasses a range of interventions and procedures directed at managing or alleviating health conditions. This includes medications, therapies, surgeries, and lifestyle modifications, all tailored to improve patient outcomes and enhance overall well-being. Treatment strategies are diverse, depending on the nature and severity of the medical condition being addressed.	8
G01.1_147704292_2	treatment	interventions and procedures aimed at managing or alleviating health conditions, including medications, therapies, lifestyle modifications.	a range of interventions and procedures directed at managing or alleviating health conditions. This includes medications, therapies, surgeries, and lifestyle modifications, all tailored to improve patient outcomes and enhance overall well-being. Treatment strategies are diverse, depending on the nature and severity of the medical condition being addressed.	9
G01.1_147704292_3	bacteriology data	Bacteriology data refers to information obtained through the study of bacteria, including their identification, characteristics, and interactions. This data is crucial for understanding bacterial infections, developing treatments, and advancing knowledge in the field of microbiology.	Bacteriology data encompasses information derived from the study of bacteria, involving their identification, characteristics, and interactions. This data plays a critical role in comprehending bacterial infections, guiding the development of treatments, and advancing knowledge in microbiology. Bacteriology data aids researchers and healthcare professionals in addressing infectious diseases and promoting public health.	8
G01.1_147704292_3	bacteriology data	data obtained through the study of bacteria, including their identification, characteristics, and interactions.	data derived from the study of bacteria, involving their identification, characteristics, and interactions. This data plays a critical role in comprehending bacterial infections, guiding the development of treatments, and advancing knowledge in microbiology. Bacteriology data aids researchers and healthcare professionals in addressing infectious diseases and promoting public health.	9
G01.1_147704292_3	electronic medical record system	An electronic medical record system (EMR) is a digitalized database that stores and manages patient health information. It includes medical history, diagnoses, medications, and treatment plans. EMRs streamline healthcare processes, enhance data accessibility, and support comprehensive patient care.	An electronic medical record system (EMR) is a digital database designed to store and manage patient health information. It encompasses details such as medical history, diagnoses, medications, and treatment plans. EMRs streamline healthcare processes, enabling efficient data management, improving accessibility, and facilitating comprehensive patient care by providing healthcare professionals with organized and readily accessible patient information.	8
G01.1_147704292_3	electronic medical record system	a digitalized database that stores and manages patient health information, including medical history, medications, treatment plans.	a digital database designed to store and manage patient health information. It encompasses details such as medical history, diagnoses, medications, and treatment plans. Electronic medical record systems streamline healthcare processes, enabling efficient data management, improving accessibility, and facilitating comprehensive patient care by providing healthcare professionals with organized and readily accessible patient information.	9
G01.1_147704292_3	PDA	PDA is the acronym for personal digital assistant, which is a handheld electronic device designed for personal organization, communication, and information access. PDAs may include features such as calendars, contact lists, and note-taking capabilities, serving as portable tools for managing daily tasks.	PDA is the acronym for personal digital assistant, which is a handheld electronic device crafted for personal organization, communication, and information retrieval. PDAs often incorporate features like calendars, contact lists, and note-taking capabilities, functioning as portable tools for managing daily tasks and staying connected. While modern smartphones have largely replaced traditional PDAs, the concept influenced the development of contemporary mobile devices.	8
G01.1_147704292_3	PDA	a handheld electronic device designed for personal organization, communication, and information access.	acronym for Personal Digital Assistant, which is a handheld electronic device crafted for personal organization, communication, and information retrieval. PDAs often incorporate features like calendars, contact lists, and note-taking capabilities, functioning as portable tools for managing daily tasks and staying connected. While modern smartphones have largely replaced traditional PDAs, the concept influenced the development of contemporary mobile devices.	9
G01.1_147704292_3	personal digital assistant	A personal digital assistant is a handheld electronic device designed for personal organization, communication, and information access. PDAs may include features such as calendars, contact lists, and note-taking capabilities, serving as portable tools for managing daily tasks.	A personal digital assistant is a handheld electronic device crafted for personal organization, communication, and information retrieval. PDAs often incorporate features like calendars, contact lists, and note-taking capabilities, functioning as portable tools for managing daily tasks and staying connected. While modern smartphones have largely replaced traditional PDAs, the concept influenced the development of contemporary mobile devices.	8
G01.1_147704292_3	personal digital assistant	a handheld electronic device designed for personal organization, communication, and information access.	a handheld electronic device crafted for personal organization, communication, and information retrieval. Personal digital assistants often incorporate features like calendars, contact lists, and note-taking capabilities, functioning as portable tools for managing daily tasks and staying connected. While modern smartphones have largely replaced traditional PDAs, the concept influenced the development of contemporary mobile devices.	9
G01.1_147704292_3	PIH-EMR	PIH-EMR refers to the electronic medical record system used by Partners In Health (PIH). This digital database stores and manages patient health information, streamlining healthcare processes and supporting comprehensive patient care within the organization's healthcare initiatives.	PIH-EMR is the electronic medical record system utilized by Partners In Health (PIH). Specifically tailored for the organization's healthcare initiatives, this digital database efficiently stores and manages patient health information. PIH-EMR streamlines healthcare processes, facilitating data accessibility, and contributing to the delivery of comprehensive and organized patient care within the framework of PIH's mission.	8
G01.1_147704292_3	PIH-EMR	the electronic medical record system used by Partners In Health. This digital database stores and manages patient health information.	the electronic medical record (EMR) system utilized by Partners In Health (PIH). Specifically tailored for the organization's healthcare initiatives, this digital database efficiently stores and manages patient health information. PIH-EMR streamlines healthcare processes, facilitating data accessibility, and contributing to the delivery of comprehensive and organized patient care within the framework of PIH's mission.	9
G01.1_147704292_4	implementation period	The implementation period refers to the designated timeframe during which new methods or technologies are introduced and integrated into a specific field or system. It encompasses planning, execution, and evaluation phases, ensuring a systematic and effective adoption process.	The implementation period is the defined time frame dedicated to introducing and incorporating new methods or technologies into a particular field or system. It involves planning, executing, and evaluating the adoption process to ensure a systematic and effective integration. This period is crucial for a successful transition to enhance efficiency and outcomes within the targeted environment.	8
G01.1_147704292_4	implementation period	the designated timeframe during which new methods or technologies are introduced and integrated into a specific field or system.	the defined time frame dedicated to introducing and incorporating new methods or technologies into a particular field or system. It involves planning, executing, and evaluating the adoption process to ensure a systematic and effective integration. This period is crucial for a successful transition to enhance efficiency and outcomes within the targeted environment.	9
G01.1_147704292_4	pilot study	A pilot study is a preliminary research investigation conducted on a small scale to assess the feasibility, methodology, and potential challenges of a larger research project. It helps refine study design before initiating a full-scale research endeavor.	A pilot study is an initial and smaller-scale research investigation undertaken to evaluate the feasibility, methodology, and potential obstacles of a larger research project. It serves as a testing ground to refine the study design, identify logistical issues, and enhance the overall robustness and effectiveness of the planned full-scale research endeavor.	8
G01.1_147704292_4	pilot study	a preliminary research investigation conducted on a small scale to assess the feasibility, and potential challenges of a larger research project.	an initial and smaller-scale research investigation undertaken to evaluate the feasibility, methodology, and potential obstacles of a larger research project. It serves as a testing ground to refine the study design, identify logistical issues, and enhance the overall robustness and effectiveness of the planned full-scale research endeavor.	9
G01.1_147704292_5	baseline assessment	A baseline assessment is an initial evaluation conducted before implementing changes, often to establish a reference point for comparison. It involves collecting data to understand existing conditions, providing a basis for measuring the impact of interventions or modifications.	A baseline assessment is an initial evaluation undertaken before implementing changes, serving as a reference point for comparison. In the given context, it involved assessing the existing state in two health districts before introducing an electronic system in one district. This assessment provides essential data for evaluating the impact of the electronic system compared to the continuing use of the paper-based system in the control site.	8
G01.1_147704292_5	baseline assessment	an initial evaluation conducted before implementing changes to establish a reference point for comparison.	an initial evaluation undertaken before implementing changes, serving as a reference point for comparison. This assessment provides essential data for evaluating the impact of new implementations.	9
G01.1_147704292_5	health district	A health district is an administrative region or geographic area that encompasses multiple healthcare facilities and services. It is often organized to efficiently deliver healthcare resources, manage public health initiatives, and coordinate medical services for the local population.	A health district is a defined administrative region or geographic area that includes several healthcare facilities and services. It is structured to facilitate the efficient delivery of healthcare resources, oversee public health initiatives, and coordinate medical services for the local population. Health districts play a crucial role in organizing and optimizing healthcare provision within specific communities or regions.	8
G01.1_147704292_5	health district	an administrative region or geographic area that encompasses multiple healthcare facilities and services.	a defined administrative region or geographic area that includes several healthcare facilities and services. It is structured to facilitate the efficient delivery of healthcare resources, oversee public health initiatives, and coordinate medical services for the local population. Health districts play a crucial role in organizing and optimizing healthcare provision within specific communities or regions.	9
G01.1_1491527877_2	cardiac tele-consultation	"cardiac tele-consultation"" refers to a healthcare practice where individuals seeking medical advice or assistance for cardiac-related concerns engage in remote consultations with healthcare providers using telecommunications technology such as video conferencing, phone calls, or telemedicine platforms"	A cardiac tele-consultation is a medical appointment where you speak with a heart specialist remotely using technology like video calls, phone calls, or secure messaging platforms. During the consultation, you can discuss any concerns or symptoms related to your heart health. The specialist will ask you questions about your symptoms, medical history, and any recent tests or treatments you've had. Based on this information, they can provide advice, recommendations, or adjustments to your treatment plan. It's a way to access expert cardiac care from the comfort of your own home, without needing to travel to a clinic or hospital.	18
G01.1_1491527877_2	cardiac tele-triage	cardiac teletriage is a process where individuals experiencing cardiac symptoms or emergencies are assessed remotely, typically through telecommunication technologies such as video calls, phone calls, or mobile applications	Cardiac teletriage consists in  getting help for heart problems over the phone or through video calls. When someone has heart-related symptoms or feels unwell, they can talk to medical experts remotely instead of going to the hospital right away. These experts ask questions about the symptoms and can give advice on what to do next. They might also check things like heart rate and blood pressure remotely. The idea is to quickly figure out how serious the problem is and provide the right guidance or suggest if the person needs to go to the hospital for further care.	18
G01.1_1491527877_2	decision support tool	a decision support tool is a software application or system designed to provide users with structured information, analysis, and insights to aid in making informed decisions	A decision support tool is essentially a tool or system that helps people make better decisions. It's like having a trusted advisor by your side, but in digital form. These tools are designed to organize and analyze information to provide insights that can guide decision-making processes. It works by gathering relevant data from different sources, such as databases or spreadsheets, and organizes it in a structured manner. Then, it applies analytical techniques to derive insights from this data, which are presented in user-friendly formats like charts or reports. These insights help users understand the implications of different choices and potential outcomes. With this information, users can evaluate their options more effectively, comparing scenarios, assessing risks, and exploring alternative courses of action. Decision support tools also facilitate collaboration among multiple stakeholders, allowing them to share information, collaborate on analyses, and communicate within the tool's framework.	18
G01.1_1491527877_2	DST	"""DST"" is an acronym which stand for ""decision support tool"", a software application or system designed to provide users with structured information, analysis, and insights to aid in making informed decisions"	DST is an acronym which stand for decision support tool. It is a tool or system that helps people make better decisions. It's like having a trusted advisor by your side, but in digital form. These tools are designed to organize and analyze information to provide insights that can guide decision-making processes. It works by gathering relevant data from different sources, such as databases or spreadsheets, and organizes it in a structured manner. Then, it applies analytical techniques to derive insights from this data, which are presented in user-friendly formats like charts or reports. These insights help users understand the implications of different choices and potential outcomes. With this information, users can evaluate their options more effectively, comparing scenarios, assessing risks, and exploring alternative courses of action. Decision support tools also facilitate collaboration among multiple stakeholders, allowing them to share information, collaborate on analyses, and communicate within the tool's framework.	18
G01.1_1491527877_2	PDA	"""PDA"" is an acronym that  stand for personal digital assistant (PDA), which is a handheld electronic device or software application designed to provide organizational, productivity, and communication functionalities to individuals"	The acronym PDA stands for Personal Digital Assistant, which is a compact device or application that combines organizational tools like calendars and notes with communication features such as email and messaging. It's designed to help individuals manage their schedules, tasks, and contacts conveniently in one place, offering a portable solution for staying productive and connected on the go.	18
G01.1_1491527877_3	ecological interface design	ecological interface design is an approach to designing user interfaces for complex systems that draws inspiration from ecological principles	Ecological Interface Design (EID) is about making computer screens or displays easier for people to use. Instead of just focusing on the buttons and menus on a screen, EID looks at how people naturally understand things in their environment. For example, if you're designing a control panel for a complex system like a power plant, EID would consider how the layout and organization of information on the screen can help workers easily understand what's going on and make decisions quickly. EID tries to make interfaces feel more natural, like they're a part of the environment, to help people use them more effectively.	18
G01.1_1491527877_4	quaternary cardiac care hospital	quaternary cardiac care hospital refers to a specialized medical facility that offers advanced and comprehensive cardiac care services at the highest level	A quaternary cardiac care hospital is a special kind of hospital that focuses on providing the highest level of care for serious heart problems. They have top-notch heart doctors and the latest technology to treat complex heart conditions. These hospitals are often where people go when they need advanced heart surgeries, special heart treatments, or when their heart condition is very complicated and needs extra-special care.	18
G01.1_1491527877_6	cardiac care nurses	cardiac care nurses are specialized registered nurses who provide comprehensive care and support to patients with cardiovascular conditions, including heart disease, heart attacks, and heart failure	A cardiac care nurse is a specially trained nurse who focuses on caring for patients with heart-related conditions. These nurses work in hospitals, cardiac care units, cardiac rehabilitation centers, and other healthcare settings where heart patients receive treatment. Their main role is to provide comprehensive care to patients with heart problems, including those who have had heart attacks, heart surgery, or heart failure. They monitor patients' vital signs, administer medications, assist with procedures like electrocardiograms (ECGs) and stress tests, and educate patients and their families about heart health, medications, and lifestyle changes. Cardiac care nurses play a vital role in helping patients recover from heart procedures, managing symptoms, and preventing complications. They work closely with cardiologists, cardiac surgeons, and other healthcare professionals to ensure that patients receive the best possible care and support throughout their heart-related health journey.	18
G01.1_1493916683_1	M-CALL	It is language learning that is assisted by the use of technological devices such as smartphones, tablets, computers.	M-CALL is a type of language learning which uses devices, like smartphones, to facilitate language learning. It enables people to access materials anytime and everywhere. Provides interactive excercises and multimedia content to enhance language acquisition.	5
G01.1_1493916683_3	public wireless LAN	It is a local area network which uses wireless technology to connect devices within a geographical area.	public wireless LAN is a network of interconnected devices within a geographical area. It facilitate communication and resourse sharing among connected devices.	5
G01.1_1493916683_5	Korean Proficiency Test	It is a nationally certified test to assess individuals' proficiency in the Korean language.	It is an examination designed to assess individuals' proficiency in the Korean language. It typically evaluates various language skills, including reading, writing, listening, and speaking, and is often used by educational institutions, employers, and immigration authorities to determine an individual's level of Korean language proficiency.	5
