doc_id	snt_id	snt_source
2968176166	G06.2_2968176166_2	Increasing the reliability of these vehicles on the road requires an extensive suite of software tests, ideally performed on highfidelity simulators, where multiple vehicles and pedestrians interact with the self-driving vehicle.
2968176166	G06.2_2968176166_3	It is therefore of critical importance to ensure that self-driving software is assessed against a wide range of challenging simulated driving scenarios.
2968176166	G06.2_2968176166_4	The state of the art in driving scenario generation, as adopted by some of the front-runners of the self-driving car industry, still relies on human input [1].
2968176166	G06.2_2968176166_5	In this paper we propose to automate the process using Bayesian optimization to generate adversarial self-driving scenarios that expose poorly-engineered or poorly-trained self-driving policies, and increase the risk of collision with simulated pedestrians and vehicles.
2968176166	G06.2_2968176166_6	We show that by incorporating the generated scenarios into the training set of the self-driving policy, and by fine-tuning the policy using vision-based imitation learning we obtain safer self-driving behavior.
1019677957	G01.1_1019677957_1	In recent years, mobile technologies have developed and applied in education fields, and some mobile emerging carriers with mobile technologies include a personal digital assistant (PDA), smart phone, and e-book.
1019677957	G01.1_1019677957_2	Some of the mobile carriers combines context-aware technologies or involve into wireless network environments to make effective use through the combination of learning scenarios and technologies, and then provide students new learning experiences differed from the past learning.
1019677957	G01.1_1019677957_3	In view of the application of mobile technology in education, some previous studies have addressed that mobile learning is a meaningful learning that can improve the interaction between students and the situations and reach the purposes of learning.
1019677957	G01.1_1019677957_4	In the main stream of mobile learning, using mobile carriers with suitable learning methods or strategies in mobile learning activities for different students to enhance learning have gradually become a important and concern issue.
1019677957	G01.1_1019677957_5	The purpose of this study is to investigate the learning achievement and learning attitude of elementary school students on a campus plant learning activity when they use mobile carriers and competitive learning strategies.
1019677957	G01.1_1019677957_6	The experimental results show that the competitive learning group of students have better learning performance than non-competitive learning group of students.
1019677957	G01.1_1019677957_7	After completing the learning activity, the two groups of students presented high positive attitudes towards learning.
131359426	G01.1_131359426_1	A significative percentage of the human population suffer from impairments in their capacity to distinguish or even see colours.
131359426	G01.1_131359426_2	For them, everyday tasks like navigating through a train or metro network map becomes demanding.
131359426	G01.1_131359426_3	We present a novel technique for extracting colour information from everyday natural stimuli and presenting it to visually impaired users as pleasant, non-invasive sound.
131359426	G01.1_131359426_4	This technique was implemented inside a Personal Digital Assistant (PDA) portable device.
131359426	G01.1_131359426_5	In this implementation, colour information is extracted from the input image and categorised according to how human observers segment the colour space.
131359426	G01.1_131359426_6	This information is subsequently converted into sound and sent to the user via speakers or headphones.
131359426	G01.1_131359426_7	In the original implementation, it is possible for the user to send its feedback to reconfigure the system, however several features such as these were not implemented because the current technology is limited.We are confident that the full implementation will be possible in the near future as PDA technology improves.
151188962	G01.1_151188962_1	Recently pedestrian navigation has been studied by many researchers, which provides pedestrians with a similar function of car navigation.
151188962	G01.1_151188962_2	On the other hand, a 3dimensional (3D) map, which is one of major themes in machine vision research, has been utilized as a simulation tool in city and landscape planning, and other engineering fields.
151188962	G01.1_151188962_3	The 3D maps will give more intuitive information compared to conventional 2-dimensional (2D) ones.
151188962	G01.1_151188962_4	In this paper we first propose pedestrian navigation based on 3D maps, and describe technologies required and its use situations.
151188962	G01.1_151188962_5	Secondly we compare effectiveness of 2D and 3D maps for navigation by object search experiments under conditions: 3D maps with and without texture; display sizes corresponding to a mobile phone and PDA (Personal Digital Assistant).
151188962	G01.1_151188962_6	The experimental results show that 3D maps with texture on mobile phone display size, and 3D maps without texture on PDA display size are superior to 2D maps in search time and error rate.
151188962	G01.1_151188962_7	From these results, we can say the effectiveness of 3D maps in pedestrian navigation.
1527694686	G01.1_1527694686_1	In the ubiquitous environment, mobile terminals like personal digital assistant or cellular phone are used to access the Web.
1527694686	G01.1_1527694686_10	We implemented the procedures in a ubiquitous/universal passive viewer (u-PaV) system that transforms Web content into passive viewing content that is especially useful for mobile terminals.
1527694686	G01.1_1527694686_11	Extracting images and text from Web content, u-PaV generates a Macromedia Flash file, which is a popular multimedia format.
1527694686	G01.1_1527694686_2	Although the presentation of Web content depends on the terminal type, the Web interface of mobile terminals is designed almost the same as that of personal computers.
1527694686	G01.1_1527694686_3	However, comparing mobile and desktop terminals, some difference in device characteristics, such as screen resolution or sound faithfulness, affect the presentation on the terminal.
1527694686	G01.1_1527694686_4	Moreover, when changing the access style between interactive and passive, the presentation should be adjusted for the terminal type because the lacking information is usually not perceived after transformation.
1527694686	G01.1_1527694686_5	To adjust the play style of Web content to the terminal type, we developed a method for visual presentation.
1527694686	G01.1_1527694686_6	First, using keyword analysis, we represent the emotional aspect of a Web page by adjusting the background color of the screen.
1527694686	G01.1_1527694686_7	Second, we emphasize the subject of the content by the logotype of the keyword.
1527694686	G01.1_1527694686_8	Third, we segment the picture of the content into pieces and present one after another using visual effects.
1527694686	G01.1_1527694686_9	These procedures can be applied to any type of terminal.
19	M1_19_1	The alcohol ingestion protocol (1.5 g·kg−1 BM; 12±2 standard drinks) began 1 h post-exercise and was consumed in 6 equal volumes of 1 part vodka (∼60 mL) to four parts orange juice (∼240 mL, 1.8 g CHO·kg−1 BM) during a 3 h period.
2810968146	G06.2_2810968146_1	We introduce Ignition: an end-to-end neural network architecture for training unconstrained self-driving vehicles in simulated environments.
2810968146	G06.2_2810968146_2	The model is a ResNet-18 variant, which is fed in images from the front of a simulated F1 car, and outputs optimal labels for steering, throttle, braking.
2810968146	G06.2_2810968146_3	Importantly, we never explicitly train the model to detect road features like the outline of a track or distance to other cars; instead, we illustrate that these latent features can be automatically encapsulated by the network.
2895247503	G08.1_2895247503_1	As Bitcoin's popularity has grown over the decade since its creation, it has become an increasingly attractive target for adversaries of all kinds.
150012053	G01.1_150012053_1	Advancement of wireless and mobile technology has enabled additional platforms to support learning in a single learning space.
150012053	G01.1_150012053_2	Current trend integrates usage of mobile terminals such as smart PDA (personal digital assistant) in a learning system.
150012053	G01.1_150012053_3	Such devices can communicate with wireless mobile terminal and realize the intelligence exchange with its surroundings [1].
150012053	G01.1_150012053_4	A LOCH (Language Learning Outside the Classroom) system named One Day Trip is developed to assist overseas students to learn Japanese in real life situations with the help of a PDA.
150012053	G01.1_150012053_5	This paper proposes the implementation with Knowledge Management (KM) concepts in the system to aid the teacher and learners in the learning environment.
1530854586	G01.1_1530854586_1	This study explored the potential of the application of wireless and mobile computing technologies to be used in improving the efficiency of patient care and education and future developments in information and communication technologies to support healthcare professionals and medical students in healthcare research, medical education and training.
1530854586	G01.1_1530854586_2	The design used for this study was a systematic review of published materials obtained from EMBASE and MEDLINE online databases, and the Cochrane Library database, including personal observations.
1530854586	G01.1_1530854586_3	Today, more than 50% of healthcare professionals and medical students are using Personal Digital Assistant with expected growth of more than 75% by year-end 2007.
1530854586	G01.1_1530854586_4	In addition, wireless and mobile computing technologies allows Personal Digital Assistant to connect directly to networks or the Internet.
1530854586	G01.1_1530854586_5	Studies relating to processes of patient care and should evaluate mobile computing technologies as a potential timesaving tool.
1530854586	G01.1_1530854586_6	Wireless and mobile computing technologies is only beginning to take its first step in improving patient care and education.
1530854586	G01.1_1530854586_7	They have shown a positive impact on patient safety, health care efficiency, and ultimately patient satisfaction.
1532553277	G01.1_1532553277_1	Take 8-bit microcontroller (C8051F005) as the nucleus and study a kind of voltage harmonic monitor device that satisfies the long-range monitor.
1532553277	G01.1_1532553277_2	The harmonic analysis algorithm adopts Fast Fourier Transform (FFT).
1532553277	G01.1_1532553277_3	This device has two work modes: ”native” and ”remote”.
1532553277	G01.1_1532553277_4	It also can communicate with monitor center through telephone line, serial port, IC card, PDA (Personal Digital Assistant), etc.
2892036907	G11.1_2892036907_1	In the modern era of automation and robotics, autonomous vehicles are currently the focus of academic and industrial research.
2892036907	G11.1_2892036907_2	With the ever increasing number of unmanned aerial vehicles getting involved in activities in the civilian and commercial domain, there is an increased need for autonomy in these systems too.
2892036907	G11.1_2892036907_3	Due to guidelines set by the governments regarding the operation ceiling of civil drones, road-tracking based navigation is garnering interest.
2892036907	G11.1_2892036907_4	In an attempt to achieve the above mentioned tasks, we propose an imitation learning based, data-driven solution to UAV autonomy for navigating through city streets by learning to fly by imitating an expert pilot.
2892036907	G11.1_2892036907_5	Derived from the classic image classification algorithms, our classifier has been constructed in the form of a fast 39-layered Inception model, that evaluates the presence of roads using the tomographic reconstructions of the input frames.
2892036907	G11.1_2892036907_6	Based on the Inception-v3 architecture, our system performs better in terms of processing complexity and accuracy than many existing models for imitation learning.
2892036907	G11.1_2892036907_7	The data used for training the system has been captured from the drone, by flying it in and around urban and semi-urban streets, by experts having at least 6-8 years of flying experience.
2892036907	G11.1_2892036907_8	Permissions were taken from required authorities who made sure that minimal risk (to pedestrians) is involved in the data collection process.
2892036907	G11.1_2892036907_9	With the extensive amount of drone data that we collected, we have been able to navigate successfully through roads without crashing or overshooting, with an accuracy of 98.44%.
2892036907	G11.1_2892036907_10	The computational efficiency of MAVNet enables the drone to fly at high speeds of up to 6m/sec.
2892036907	G11.1_2892036907_11	We present the same results in this research and compare them with other state-of-the-art methods of vision and learning based navigation.
1448624402	G01.2_1448624402_1	As extensive experimental research has shown individuals suffer from diverse biases in decision-making.
1448624402	G01.2_1448624402_2	In our paper we analyze the effects of decision-making biases of managers in collaborative decision processes on organizational performance.
1448624402	G01.2_1448624402_3	In the simulations, managerial decisions which are based on different levels of organizational complexity and different incentive systems suffer from biases known from descriptive decision theory.
1448624402	G01.2_1448624402_4	The results illustrate how biases in combination with each other and in different organizational contexts affect organizational performance.
1448624402	G01.2_1448624402_5	We find that, contrary to intuition, some combinations of biases significantly improve organizational performance while these biases negatively affect organizational performance when they occur separately.
1448624402	G01.2_1448624402_6	This might evoke considerations whether decision-making should be as rational as possible.
1500084159	G01.1_1500084159_1	In monitoring a patientu0027s real-time vital signs through Body Area Networks (BAN), rich data sources are communicated to medical practitioners.
1500084159	G01.1_1500084159_2	It is essential that data is delivered in timely-context aware manner.
1500084159	G01.1_1500084159_3	In this paper a system is designed for patients with cardiac disorders, with an emphasis on the design of the sensing device and communication scheme chosen.
1500084159	G01.1_1500084159_4	Several existing wearable physiological devices (Patient Sensing Device — PSD) used in the Healthcare systems are bulky in design and are not flexible and comfortable for the elderly patients.
1500084159	G01.1_1500084159_5	Presented is a unique flexible, as well as detachable PSD for the comfort of patients.
1500084159	G01.1_1500084159_6	Also discussed is a model for transmission, storage and processing of patient related data, which ensures periodic logging of patient data without saturating communication networks.
1500084159	G01.1_1500084159_7	A proof of concept prototype has been developed and implemented to enable transmission of Electrocardiogram (ECG) signal and body temperature of a patient, which can be expanded to include other vital signs.
1500084159	G01.1_1500084159_8	Communication between a mobile smart-phone and the ECG and temperature acquisition apparatus is implemented Bluetooth.
1500084159	G01.1_1500084159_9	The presented Data Management System — Periodic Model (DMS — PM) is designed to manage wireless interface of sensor units with the patient database at a Medical Service Provider (MSP) through a Personal Digital Assistant (PDA) or a Smart phone making use of the existing GSM network.
1511670876	G01.1_1511670876_1	"Objective: To evaluate the effectiveness of a personal digital assistant (PDA)–based clinical decision support system (CDSS) on nonsteroidal anti-inflammatory drug (NSAID) prescribing safety in the outpatient  :[26],""The design was a randomized, controlled trial conducted in a university-based resident clinic."
1511670876	G01.1_1511670876_2	Internal medicine residents received a PDA-based CDSS suite.
1511670876	G01.1_1511670876_3	For intervention residents, the CDSS included a prediction rule for NSAID-related gastrointestinal risk assessment and treatment recommendations.
1511670876	G01.1_1511670876_4	Unannounced standardized patients (SPs) trained to portray musculoskeletal symptoms presented to study physicians.
1511670876	G01.1_1511670876_5	Safety outcomes were assessed from the prescriptions given to the SPs.
1511670876	G01.1_1511670876_6	"Each prescription was reviewed by a committee of clinicians blinded to participant, intervention group assignment, and baseline or follow-up  :[108],""Prescriptions were judged as safe or unsafe."
1511670876	G01.1_1511670876_7	":[26],""The main outcome measure was the differential change in unsafe prescribing of NSAIDs for the intervention versus the control  :[135],""At baseline, the mean proportion of cases per physician with unsafe prescriptions for the two groups was similar (0.27 vs. 0.29, p u003e 0.05)."
1511670876	G01.1_1511670876_8	Controlling for baseline performance, intervention participants prescribed more safely than controls after receiving the CDSS (0.23 vs. 0.45 [F = 4.24, p u003c 0.05]).
1511670876	G01.1_1511670876_9	"With the CDSS, intervention participants documented more complete assessment of patient gastrointestinal risk from  :[198],""Participants provided with a PDA-based CDSS for NSAID prescribing made fewer unsafe treatment decisions than participants without the CDSS."
27	M1_27_1	In conclusion, the current data provide the novel observation that alcohol impairs the response of MPS in exercise recovery in human skeletal muscle despite optimal nutrient provision.
2949291273	G03.1_2949291273_1	the smart speakers cannot distinguish human voice from machine voice.
2949291273	G03.1_2949291273_2	a method to identify which of human or machine is sending voice commands to a smart speaker is desired.
2949291273	G03.1_2949291273_3	to prevent such machine-voice based attacks to a smart speaker in absence of residents, we propose a system consisting of a speaker and a microphone array to detect the existence of a human nearby, supposing it can be incorporated in a smart speaker in the future.
57	M25_57_1	In Japan, there were an estimated 43 million patients with hypertension in 2010.
57	M25_57_2	The management of this condition is given the highest priority in disease control, and the importance of lifestyle changes for the prevention and treatment of hypertension has been recognized in Japan.
57	M25_57_3	In particular, emphasis has been placed on increasing the levels of activities of daily living and physical exercise (sports).
57	M25_57_4	In this literature review, we examined appropriate exercise prescriptions (e.g., type, intensity, duration per session, and frequency) for the prevention and treatment of hypertension as described in Japanese and foreign articles.
57	M25_57_5	This review recommends safe and effective whole-body aerobic exercise at moderate intensity (i.e., 50-65% of maximum oxygen intake, 30-60 min per session, 3-4 times a week) that primarily focuses on the major muscle groups for the prevention and treatment of hypertension.
57	M25_57_6	Resistance exercise should be performed at low-intensity without breath-holding and should be used as supplementary exercise, but resistance exercise is contraindicated in patients with hypertension who have chest symptoms such as chest pain.
1493916683	G01.1_1493916683_1	This paper presents M-CALL, a mobile computer-assisted language learning courseware for Korean language learners.
1493916683	G01.1_1493916683_2	Since conventional computer-assisted language learning is often boring, it exploits a cyber pet game to increase the learner’s interest.
1493916683	G01.1_1493916683_3	M-CALL runs on a personal digital assistant with public wireless LAN for mobile learning.
1493916683	G01.1_1493916683_4	It grows a cyber pet by solving problems of Korean language learning.
1493916683	G01.1_1493916683_5	Korean Proficiency Test (KPT), a nationally certified Korean language test, was used as problem sets.
1493916683	G01.1_1493916683_6	It consists of cyber pet game, mobile learning courseware, mobile learning system, and mobile tutoring.
1493916683	G01.1_1493916683_7	It provides various functions for Korean language learning.
1493916683	G01.1_1493916683_8	Currently, the prototype M-CALL was designed and partly implemented between mobile PDA and personal computer.
1504856008	G01.1_1504856008_1	Unlike many other classes of hardware, smartcards do not have the ability to communicate securely with the user.
1504856008	G01.1_1504856008_2	Deprived of means to keep the owner informed, the positive properties of smartcards are difficult to utilize.
1504856008	G01.1_1504856008_3	We explore the area at the border between smartcards and other, more powerful (and thus more useful), machines.
1504856008	G01.1_1504856008_4	"On the other side of this border we find the Personal Digital Assistant  :[66],""our view, to be useful as an extension of the usersu0027 private sphere, a machine must at least have enough functionality and resources to create trustworthy digital signatures (to speak for the user, as it were)."
1504856008	G01.1_1504856008_5	"A less resourceful machine can merely act as a memory prothesis, helping the owner remembering addresses and phone  are :[121],""designed to be tamper resistant, and as such they seem ideal as a minimal machine."
1504856008	G01.1_1504856008_6	"However, trustworthy digital signatures can not be created by smartcards alone, simply because the user does not know what is given to the card for  :[163],""order to be trusted--that is, being able to make trustworthy digital signatures--a smartcard must be supported by some infrastructure outside the card proper."
1504856008	G01.1_1504856008_7	"We explore what must be included in such an infrastructure, and demonstrate that trustworthy digital signatures can in fact be made using a standard  :[211],""argue that based on this fact, nontrivial distributed systems can be constructed by utilizing smartcards; a nontrivial system is one where holders of smartcards are ""first class citizens""."
1504856008	G01.1_1504856008_8	"Asserting that a smartcard can act as a trusted machine gives new opportunities for designers of user-centric  that smartcards are :[257],""here to stay, finding ways to apply them in constructive manners is prudent."
1516508996	G01.1_1516508996_1	Summary form only given, as follows.
1516508996	G01.1_1516508996_2	We present a design for a low cost but powerful and high speed communications device powered by IDTu0027s RV4640 as its processing engine.
1516508996	G01.1_1516508996_3	The device can achieve very high speed, thanks to the PCI bus compatible IDT ATM NIC.
1516508996	G01.1_1516508996_4	The device could be used as a two way pager, a set-top box, an Internet terminal, a personal digital assistant or as a video phone.
1516508996	G01.1_1516508996_5	The RV4640 is a very affordable 64 bit RISC processor that executes 175 dhrystone MIPS at 133 MHz.
1516508996	G01.1_1516508996_6	The RV4640 can be connected to a System Interface Chip which will provide I/O and memory control.
1516508996	G01.1_1516508996_7	The IDT77903 ATM card is a full duplexed 25 Mbps NIC with a PCI bus interface and it costs less than $100 (US).
1516508996	G01.1_1516508996_8	Integrating this card into our device as a network interface will make highspeed videoconferencing and multimedia applications easily implementable.
2749521565	G07.2_2749521565_1	Yet contemporary work in Philosophy argues provisional belief in conspiracy theories is—at the very—least understandable (because conspiracies occur) and if we take an evidential approach—judging individual conspiracy theories on their particular merits—belief in such theories turns out to be warranted in a range of cases.
2749521565	G07.2_2749521565_2	Drawing on this work, I examine the kinds of evidence typically associated with conspiracy theories, showing that the evidential problems typically associated with conspiracy theories are not unique to such theories.
2749521565	G07.2_2749521565_3	As such, if there is a problem with the conspiracy theorist’s use of evidence, it is one of principle: is the principle which guides their use of evidence somehow in error? I argue that whatever we might think about conspiracy theories generally, there is no prima facie case for a scepticism of conspiracy theories based purely on their use of evidence.
2888100547	G07.1_2888100547_1	Online social media provide users with unprecedented opportunities to engage with diverse opinions.
2888100547	G07.1_2888100547_2	Simultaneously, they allow the spread of misinformation by empowering individuals to self-select the narratives they want to be exposed to, both through active (confirmation bias) and passive (personalized news algorithms) self-reinforcing mechanisms.
2888100547	G07.1_2888100547_3	A precise theoretical understanding of such trade-offs is still largely missing.
2888100547	G07.1_2888100547_4	We introduce a stylized social learning model where most participants in a network update their beliefs unbiasedly based on the arrival of new information, while a fraction of participants display confirmation bias, enabling them to reject news that are incongruent with their pre-existing beliefs.
2888100547	G07.1_2888100547_5	We show that this simple confirmation bias mechanism can generate permanent opinion polarisation.
2888100547	G07.1_2888100547_6	"Furthermore, the model results in states where unbiased agents behave ""as if"" they were biased, due to their biased neighbours effectively functioning as gatekeepers, restricting their access to free and diverse information."
2888100547	G07.1_2888100547_7	We derive analytic results for the distribution of individual agents’ beliefs, explicitly demonstrating the aforementioned trade-off between confirmation bias and social connectivity, which we further validate against US county-level data on the impact of Internet access on the formation of beliefs about global warming.
2888100547	G07.1_2888100547_8	Our findings indicate that confirmation bias in small doses may actually result in improved accuracy across individuals by preserving information diversity in a social network.
2888100547	G07.1_2888100547_9	However, results also indicate that when confirmation bias grows past an optimal value, accuracy declines as biased agents restrict information flow to subgroups.
2888100547	G07.1_2888100547_10	We discuss the policy implications of our model, highlighting the downside of debunking strategies and suggesting alternative strategies to contrast misinformation.
7	M1_7_1	The outcomes of binge drinking after exercise are likely to include the direct effect of alcohol on physiological processes as well as the indirect effect on the athlete's recovery due to not eating or resting adequately as a result of intoxication.
54	M22_54_1	Recovery from exercise refers to the time period between the end of a bout of exercise and the subsequent return to a resting or recovered state.
54	M22_54_2	It also refers to specific physiological processes or states occurring after exercise that are distinct from the physiology of either the exercising or the resting states.
54	M22_54_3	In this context, recovery of the cardiovascular system after exercise occurs across a period of minutes to hours, during which many characteristics of the system, even how it is controlled, change over time.
54	M22_54_4	Some of these changes may be necessary for long-term adaptation to exercise training, yet some can lead to cardiovascular instability during recovery.
54	M22_54_5	Furthermore, some of these changes may provide insight into when the cardiovascular system has recovered from prior training and is physiologically ready for additional training stress.
54	M22_54_6	This review focuses on the most consistently observed hemodynamic adjustments and the underlying causes that drive cardiovascular recovery and will highlight how they differ following resistance and aerobic exercise.
54	M22_54_7	Primary emphasis will be placed on the hypotensive effect of aerobic and resistance exercise and associated mechanisms that have clinical relevance, but if left unchecked, can progress to symptomatic hypotension and syncope.
54	M22_54_8	Finally, we focus on the practical application of this information to strategies to maximize the benefits of cardiovascular recovery, or minimize the vulnerabilities of this state.
54	M22_54_9	We will explore appropriate field measures, and discuss to what extent these can guide an athlete's training.
55	M23_55_1	"Exercise and physical activity are increasingly becoming key tools in the treatment and prevention of several medical conditions including arthritis and diabetes; this notion has been termed ""exercise as medicine""."
55	M23_55_2	Exercise has favorable effects on reducing cardiovascular risk, inflammation, cachexia, and hypertension, in addition to increasing physical functioning, strength, and cardio-respiratory capacity.
55	M23_55_3	Chronic kidney disease, a condition that affects around 10% of the population, is often overlooked as a target for exercise-based therapy.
55	M23_55_4	Despite the vast range of severity in kidney disease (e.g., pre-dialysis, dialysis, transplant), exercise has a potential role in all patients suffering from the condition.
55	M23_55_5	In this review, we summarise the important role exercise may have in the clinical management of kidney disease and how this form of 'medicine' should be best administered and 'prescribed'.
56	M24_56_1	Blood flow restriction (BFR) is an effective clinical intervention used to increase strength in healthy individuals.
56	M24_56_2	However, its effects on pain and function in individuals with knee pain are unknown.
56	M24_56_3	Objective: To determine the effectiveness of adding BFR to resistance exercise for pain relief and improvement of function in patients with knee pain.
56	M24_56_4	Methods: Systematic review with meta-analysis of randomized clinical trials.
56	M24_56_5	Randomized clinical trials that compared resistance exercise with or without BFR to treat knee pain and function in individuals older than 18 years of age with knee pain were included.
56	M24_56_6	The pooled standardized mean difference (SMD) estimate showed that resistance exercises with BFR was not more effective than resistance exercises for reducing pain (SMD: -0.37cm, 95% CI=-0.93, 0.19) and improving knee function (SMD=-0.23 points, 95% CI=-0.71, 0.26) in patients with knee pain.
754200012	G09.1_754200012_1	Image tampering, being readily facilitated and proliferated by today’s digital techniques, is increasingly causing problems regarding the authenticity of images.
754200012	G09.1_754200012_2	As the most popular multimedia data, JPEG images can be easily tampered without leaving any clues; therefore, JPEG-based forensics , including the detection of double compression, interpolation, rotation, etc., has become an active research topic in multimedia forensics.
754200012	G09.1_754200012_3	Nevertheless, the interesting issue of detecting image tampering and its related operations by using the same quantization matrix has not been fully investigated.
754200012	G09.1_754200012_4	Aiming to detect such forgery manipulations under the same quantization matrix, we propose a detection method by using shift-recompression -based reshuffle characteristic features.
754200012	G09.1_754200012_5	The learning classifiers are applied for classification.
754200012	G09.1_754200012_6	Our experimental results indicate that the approach is indeed highly effective in detecting image tampering and relevant manipulations with the same quantization matrix.
17	M1_17_1	Furthermore, a CHO-based meal (1.5 g·kg−1 BM) was consumed ∼2 h post-exercise, immediately after the muscle biopsy, according to recommendations for post-exercise glycogen recovery [24].
2894304194	G07.1_2894304194_1	Superintelligence is a potential type of future artificial intelligence (AI) that is significantly more intelligent than humans in all major respects.
2894304194	G07.1_2894304194_2	If built, superintelligence could be a transformative event, with potential consequences that are massively beneficial or catastrophic.
2894304194	G07.1_2894304194_3	Meanwhile, the prospect of superintelligence is the subject of major ongoing debate, which includes a significant amount of misinformation.
2894304194	G07.1_2894304194_4	Superintelligence misinformation is potentially dangerous, ultimately leading bad decisions by the would-be developers of superintelligence and those who influence them.
2894304194	G07.1_2894304194_5	This paper surveys strategies to counter superintelligence misinformation.
2894304194	G07.1_2894304194_6	Two types of strategies are examined: strategies to prevent the spread of superintelligence misinformation and strategies to correct it after it has spread.
2894304194	G07.1_2894304194_7	In general, misinformation can be difficult to correct, suggesting a high value of strategies to prevent it.
2894304194	G07.1_2894304194_8	The strategies proposed can be applied to lay public attention to superintelligence, AI education programs, and efforts to build expert consensus.
2950010073	G07.1_2950010073_1	The widespread online misinformation could cause public panic and serious economic damages.
